Lugar de condena;Tipo de Delito;Periodo;
05 Canarias;22 Contra el orden público;2016;540
05 Canarias;22 Contra el orden público;2015;530
05 Canarias;22 Contra el orden público;2014;502
05 Canarias;22 Contra el orden público;2013;432
05 Canarias;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;2019;489
05 Canarias;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;2018;512
05 Canarias;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;2017;524
05 Canarias;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;2016;508
05 Canarias;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;2015;505
05 Canarias;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;2014;456
05 Canarias;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;2013;417
05 Canarias;22.2.1 Atentados contra la autoridad;2019;254
05 Canarias;22.2.1 Atentados contra la autoridad;2018;247
05 Canarias;22.2.1 Atentados contra la autoridad;2017;280
05 Canarias;22.2.1 Atentados contra la autoridad;2016;285
05 Canarias;22.2.1 Atentados contra la autoridad;2015;282
05 Canarias;22.2.1 Atentados contra la autoridad;2014;277
05 Canarias;22.2.1 Atentados contra la autoridad;2013;258
05 Canarias;22.2.2 Resistencia y desobediencia;2019;235
05 Canarias;22.2.2 Resistencia y desobediencia;2018;265
05 Canarias;22.2.2 Resistencia y desobediencia;2017;244
05 Canarias;22.2.2 Resistencia y desobediencia;2016;223
05 Canarias;22.2.2 Resistencia y desobediencia;2015;223
05 Canarias;22.2.2 Resistencia y desobediencia;2014;179
05 Canarias;22.2.2 Resistencia y desobediencia;2013;159
05 Canarias;22.99 Otros delitos contra el orden público;2019;48
05 Canarias;22.99 Otros delitos contra el orden público;2018;25
05 Canarias;22.99 Otros delitos contra el orden público;2017;54
05 Canarias;22.99 Otros delitos contra el orden público;2016;32
05 Canarias;22.99 Otros delitos contra el orden público;2015;25
05 Canarias;22.99 Otros delitos contra el orden público;2014;46
05 Canarias;22.99 Otros delitos contra el orden público;2013;15
05 Canarias;R Resto de delitos;2019;210
05 Canarias;R Resto de delitos;2018;265
05 Canarias;R Resto de delitos;2017;257
05 Canarias;R Resto de delitos;2016;274
05 Canarias;R Resto de delitos;2015;192
05 Canarias;R Resto de delitos;2014;145
05 Canarias;R Resto de delitos;2013;134
06 Cantabria;A Total Delitos;2019;4.897
06 Cantabria;A Total Delitos;2018;4.903
06 Cantabria;A Total Delitos;2017;4.615
06 Cantabria;A Total Delitos;2016;4.623
06 Cantabria;A Total Delitos;2015;3.376
06 Cantabria;A Total Delitos;2014;3.368
06 Cantabria;A Total Delitos;2013;3.268
06 Cantabria;1 Homicidio y sus formas;2019;10
06 Cantabria;1 Homicidio y sus formas;2018;12
06 Cantabria;1 Homicidio y sus formas;2017;9
06 Cantabria;1 Homicidio y sus formas;2016;7
06 Cantabria;1 Homicidio y sus formas;2015;16
06 Cantabria;1 Homicidio y sus formas;2014;11
06 Cantabria;1 Homicidio y sus formas;2013;13
06 Cantabria;1.1 Homicidio;2019;3
06 Cantabria;1.1 Homicidio;2018;2
06 Cantabria;1.1 Homicidio;2017;4
06 Cantabria;1.1 Homicidio;2016;3
06 Cantabria;1.1 Homicidio;2015;1
06 Cantabria;1.1 Homicidio;2014;6
06 Cantabria;1.1 Homicidio;2013;4
06 Cantabria;1.2 Asesinato;2019;1
06 Cantabria;1.2 Asesinato;2018;2
06 Cantabria;1.2 Asesinato;2017;1
06 Cantabria;1.2 Asesinato;2016;1
06 Cantabria;1.2 Asesinato;2015;2
06 Cantabria;1.2 Asesinato;2014;2
06 Cantabria;1.2 Asesinato;2013;4
06 Cantabria;1.3 Homicidio por imprudencia;2019;6
06 Cantabria;1.3 Homicidio por imprudencia;2018;8
06 Cantabria;1.3 Homicidio por imprudencia;2017;4
06 Cantabria;1.3 Homicidio por imprudencia;2016;3
06 Cantabria;1.3 Homicidio por imprudencia;2015;13
06 Cantabria;1.3 Homicidio por imprudencia;2014;3
06 Cantabria;1.3 Homicidio por imprudencia;2013;5
06 Cantabria;1.4 Inducción al suicidio;2019;0
06 Cantabria;1.4 Inducción al suicidio;2018;0
06 Cantabria;1.4 Inducción al suicidio;2017;0
06 Cantabria;1.4 Inducción al suicidio;2016;0
06 Cantabria;1.4 Inducción al suicidio;2015;""
06 Cantabria;1.4 Inducción al suicidio;2014;""
06 Cantabria;1.4 Inducción al suicidio;2013;0
06 Cantabria;3 Lesiones;2019;999
06 Cantabria;3 Lesiones;2018;1.006
06 Cantabria;3 Lesiones;2017;883
06 Cantabria;3 Lesiones;2016;836
06 Cantabria;3 Lesiones;2015;544
06 Cantabria;3 Lesiones;2014;530
06 Cantabria;3 Lesiones;2013;508
06 Cantabria;6 Contra la libertad;2019;421
06 Cantabria;6 Contra la libertad;2018;420
06 Cantabria;6 Contra la libertad;2017;377
06 Cantabria;6 Contra la libertad;2016;363
06 Cantabria;6 Contra la libertad;2015;170
06 Cantabria;6 Contra la libertad;2014;96
06 Cantabria;6 Contra la libertad;2013;79
06 Cantabria;6.2 Amenazas;2019;331
06 Cantabria;6.2 Amenazas;2018;324
06 Cantabria;6.2 Amenazas;2017;302
06 Cantabria;6.2 Amenazas;2016;320
06 Cantabria;6.2 Amenazas;2015;145
06 Cantabria;6.2 Amenazas;2014;82
06 Cantabria;6.2 Amenazas;2013;70
06 Cantabria;6.9 Coacciones y detenciones ilegales;2019;90
06 Cantabria;6.9 Coacciones y detenciones ilegales;2018;96
06 Cantabria;6.9 Coacciones y detenciones ilegales;2017;75
06 Cantabria;6.9 Coacciones y detenciones ilegales;2016;43
06 Cantabria;6.9 Coacciones y detenciones ilegales;2015;25
06 Cantabria;6.9 Coacciones y detenciones ilegales;2014;14
06 Cantabria;6.9 Coacciones y detenciones ilegales;2013;9
06 Cantabria;7 Torturas e integridad moral;2019;108
06 Cantabria;7 Torturas e integridad moral;2018;105
06 Cantabria;7 Torturas e integridad moral;2017;89
06 Cantabria;7 Torturas e integridad moral;2016;70
06 Cantabria;7 Torturas e integridad moral;2015;33
06 Cantabria;7 Torturas e integridad moral;2014;87
06 Cantabria;7 Torturas e integridad moral;2013;94
06 Cantabria;7.1 Trato degradante y violencia;2019;107
06 Cantabria;7.1 Trato degradante y violencia;2018;105
06 Cantabria;7.1 Trato degradante y violencia;2017;89
06 Cantabria;7.1 Trato degradante y violencia;2016;69
06 Cantabria;7.1 Trato degradante y violencia;2015;33
06 Cantabria;7.1 Trato degradante y violencia;2014;86
06 Cantabria;7.1 Trato degradante y violencia;2013;94
06 Cantabria;7.2 Tortura;2019;1
06 Cantabria;7.2 Tortura;2018;0
06 Cantabria;7.2 Tortura;2017;0
06 Cantabria;7.2 Tortura;2016;1
06 Cantabria;7.2 Tortura;2015;0
06 Cantabria;7.2 Tortura;2014;1
06 Cantabria;7.2 Tortura;2013;0
06 Cantabria;7.3 Otros;2019;0
06 Cantabria;7.3 Otros;2018;0
06 Cantabria;7.3 Otros;2017;0
06 Cantabria;7.3 Otros;2016;0
06 Cantabria;7.3 Otros;2015;0
06 Cantabria;7.3 Otros;2014;0
06 Cantabria;7.3 Otros;2013;0
06 Cantabria;8 Contra la libertad e indemnidad sexuales;2019;37
06 Cantabria;8 Contra la libertad e indemnidad sexuales;2018;26
06 Cantabria;8 Contra la libertad e indemnidad sexuales;2017;25
06 Cantabria;8 Contra la libertad e indemnidad sexuales;2016;20
06 Cantabria;8 Contra la libertad e indemnidad sexuales;2015;17
06 Cantabria;8 Contra la libertad e indemnidad sexuales;2014;26
06 Cantabria;8 Contra la libertad e indemnidad sexuales;2013;28
06 Cantabria;12 Contra las relaciones familiares;2019;59
06 Cantabria;12 Contra las relaciones familiares;2018;55
06 Cantabria;12 Contra las relaciones familiares;2017;37
06 Cantabria;12 Contra las relaciones familiares;2016;78
06 Cantabria;12 Contra las relaciones familiares;2015;80
06 Cantabria;12 Contra las relaciones familiares;2014;72
06 Cantabria;12 Contra las relaciones familiares;2013;46
06 Cantabria;12.3 Contra los derechos y deberes familiares;2019;59
06 Cantabria;12.3 Contra los derechos y deberes familiares;2018;55
06 Cantabria;12.3 Contra los derechos y deberes familiares;2017;37
06 Cantabria;12.3 Contra los derechos y deberes familiares;2016;78
06 Cantabria;12.3 Contra los derechos y deberes familiares;2015;80
06 Cantabria;12.3 Contra los derechos y deberes familiares;2014;71
06 Cantabria;12.3 Contra los derechos y deberes familiares;2013;45
06 Cantabria;12.3.1 Quebrantamiento de los deberes de custodia;2019;0
06 Cantabria;12.3.1 Quebrantamiento de los deberes de custodia;2018;1
06 Cantabria;12.3.1 Quebrantamiento de los deberes de custodia;2017;0
06 Cantabria;12.3.1 Quebrantamiento de los deberes de custodia;2016;0
06 Cantabria;12.3.1 Quebrantamiento de los deberes de custodia;2015;0
06 Cantabria;12.3.1 Quebrantamiento de los deberes de custodia;2014;4
06 Cantabria;12.3.1 Quebrantamiento de los deberes de custodia;2013;1
06 Cantabria;12.3.2 Sustracción de menores;2019;0
06 Cantabria;12.3.2 Sustracción de menores;2018;0
06 Cantabria;12.3.2 Sustracción de menores;2017;0
06 Cantabria;12.3.2 Sustracción de menores;2016;0
06 Cantabria;12.3.2 Sustracción de menores;2015;0
06 Cantabria;12.3.2 Sustracción de menores;2014;2
06 Cantabria;12.3.2 Sustracción de menores;2013;0
06 Cantabria;12.3.3 Abandono de familia;2019;59
06 Cantabria;12.3.3 Abandono de familia;2018;54
06 Cantabria;12.3.3 Abandono de familia;2017;37
06 Cantabria;12.3.3 Abandono de familia;2016;78
06 Cantabria;12.3.3 Abandono de familia;2015;80
06 Cantabria;12.3.3 Abandono de familia;2014;65
06 Cantabria;12.3.3 Abandono de familia;2013;44
06 Cantabria;12.99 Otros delitos contra las relaciones familiares;2019;0
06 Cantabria;12.99 Otros delitos contra las relaciones familiares;2018;0
06 Cantabria;12.99 Otros delitos contra las relaciones familiares;2017;0
06 Cantabria;12.99 Otros delitos contra las relaciones familiares;2016;0
06 Cantabria;12.99 Otros delitos contra las relaciones familiares;2015;0
06 Cantabria;12.99 Otros delitos contra las relaciones familiares;2014;1
06 Cantabria;12.99 Otros delitos contra las relaciones familiares;2013;1
06 Cantabria;13 Contra el patrimonio y el orden socioeconómico;2019;1.423
06 Cantabria;13 Contra el patrimonio y el orden socioeconómico;2018;1.478
06 Cantabria;13 Contra el patrimonio y el orden socioeconómico;2017;1.437
06 Cantabria;13 Contra el patrimonio y el orden socioeconómico;2016;1.454
06 Cantabria;13 Contra el patrimonio y el orden socioeconómico;2015;828
06 Cantabria;13 Contra el patrimonio y el orden socioeconómico;2014;716
06 Cantabria;13 Contra el patrimonio y el orden socioeconómico;2013;667
06 Cantabria;13.1 Hurtos;2019;594
06 Cantabria;13.1 Hurtos;2018;701
06 Cantabria;13.1 Hurtos;2017;666
06 Cantabria;13.1 Hurtos;2016;680
06 Cantabria;13.1 Hurtos;2015;277
06 Cantabria;13.1 Hurtos;2014;166
06 Cantabria;13.1 Hurtos;2013;173
06 Cantabria;13.2 Robos;2019;204
06 Cantabria;13.2 Robos;2018;226
06 Cantabria;13.2 Robos;2017;210
06 Cantabria;13.2 Robos;2016;280
06 Cantabria;13.2 Robos;2015;256
06 Cantabria;13.2 Robos;2014;289
06 Cantabria;13.2 Robos;2013;292
06 Cantabria;13.2.1 Robo con violencia;2019;39
06 Cantabria;13.2.1 Robo con violencia;2018;55
06 Cantabria;13.2.1 Robo con violencia;2017;27
06 Cantabria;13.2.1 Robo con violencia;2016;85
06 Cantabria;13.2.1 Robo con violencia;2015;79
06 Cantabria;13.2.1 Robo con violencia;2014;77
06 Cantabria;13.2.1 Robo con violencia;2013;59
06 Cantabria;13.2.2 Robo con fuerza;2019;165
06 Cantabria;13.2.2 Robo con fuerza;2018;171
06 Cantabria;13.2.2 Robo con fuerza;2017;183
06 Cantabria;13.2.2 Robo con fuerza;2016;195
06 Cantabria;13.2.2 Robo con fuerza;2015;177
06 Cantabria;13.2.2 Robo con fuerza;2014;212
06 Cantabria;13.2.2 Robo con fuerza;2013;233
06 Cantabria;13.4 Robo y hurto de uso de vehículo;2019;17
06 Cantabria;13.4 Robo y hurto de uso de vehículo;2018;24
06 Cantabria;13.4 Robo y hurto de uso de vehículo;2017;17
06 Cantabria;13.4 Robo y hurto de uso de vehículo;2016;15
06 Cantabria;13.4 Robo y hurto de uso de vehículo;2015;29
06 Cantabria;13.4 Robo y hurto de uso de vehículo;2014;22
06 Cantabria;13.4 Robo y hurto de uso de vehículo;2013;17
06 Cantabria;13.5 Usurpación;2019;48
06 Cantabria;13.5 Usurpación;2018;21
06 Cantabria;13.5 Usurpación;2017;19
06 Cantabria;13.5 Usurpación;2016;40
06 Cantabria;13.5 Usurpación;2015;25
06 Cantabria;13.5 Usurpación;2014;16
06 Cantabria;13.5 Usurpación;2013;17
06 Cantabria;13.6 Defraudaciones;2019;299
06 Cantabria;13.6 Defraudaciones;2018;309
06 Cantabria;13.6 Defraudaciones;2017;330
06 Cantabria;13.6 Defraudaciones;2016;266
06 Cantabria;13.6 Defraudaciones;2015;127
06 Cantabria;13.6 Defraudaciones;2014;120
06 Cantabria;13.6 Defraudaciones;2013;108
06 Cantabria;13.6.1 Estafas;2019;234
06 Cantabria;13.6.1 Estafas;2018;229
06 Cantabria;13.6.1 Estafas;2017;260
06 Cantabria;13.6.1 Estafas;2016;194
06 Cantabria;13.6.1 Estafas;2015;84
06 Cantabria;13.6.1 Estafas;2014;76
06 Cantabria;13.6.1 Estafas;2013;82
06 Cantabria;13.6.2 BIS Apropiación indebida;2019;38
06 Cantabria;13.6.2 BIS Apropiación indebida;2018;57
06 Cantabria;13.6.2 BIS Apropiación indebida;2017;50
06 Cantabria;13.6.2 BIS Apropiación indebida;2016;61
06 Cantabria;13.6.2 BIS Apropiación indebida;2015;39
06 Cantabria;13.6.2 BIS Apropiación indebida;2014;39
06 Cantabria;13.6.2 BIS Apropiación indebida;2013;25
06 Cantabria;13.6.3 Defraudaciones de fluido eléctrico;2019;27
06 Cantabria;13.6.3 Defraudaciones de fluido eléctrico;2018;23
06 Cantabria;13.6.3 Defraudaciones de fluido eléctrico;2017;20
06 Cantabria;13.6.3 Defraudaciones de fluido eléctrico;2016;11
06 Cantabria;13.6.3 Defraudaciones de fluido eléctrico;2015;4
06 Cantabria;13.6.3 Defraudaciones de fluido eléctrico;2014;5
06 Cantabria;13.6.3 Defraudaciones de fluido eléctrico;2013;1
06 Cantabria;13.9 Daños;2019;168
06 Cantabria;13.9 Daños;2018;166
06 Cantabria;13.9 Daños;2017;148
06 Cantabria;13.9 Daños;2016;146
06 Cantabria;13.9 Daños;2015;95
06 Cantabria;13.9 Daños;2014;70
06 Cantabria;13.9 Daños;2013;43
06 Cantabria;13.14 Receptación y blanqueo de capitales;2019;39
06 Cantabria;13.14 Receptación y blanqueo de capitales;2018;18
06 Cantabria;13.14 Receptación y blanqueo de capitales;2017;29
06 Cantabria;13.14 Receptación y blanqueo de capitales;2016;16
06 Cantabria;13.14 Receptación y blanqueo de capitales;2015;12
06 Cantabria;13.14 Receptación y blanqueo de capitales;2014;18
06 Cantabria;13.14 Receptación y blanqueo de capitales;2013;8
06 Cantabria;13.99 Otros delitos contra el patrimonio y orden socioeconómico;2019;54
06 Cantabria;13.99 Otros delitos contra el patrimonio y orden socioeconómico;2018;13
06 Cantabria;13.99 Otros delitos contra el patrimonio y orden socioeconómico;2017;18
06 Cantabria;13.99 Otros delitos contra el patrimonio y orden socioeconómico;2016;11
06 Cantabria;13.99 Otros delitos contra el patrimonio y orden socioeconómico;2015;7
06 Cantabria;13.99 Otros delitos contra el patrimonio y orden socioeconómico;2014;15
06 Cantabria;13.99 Otros delitos contra el patrimonio y orden socioeconómico;2013;9
06 Cantabria;17 Contra la seguridad colectiva;2019;1.259
06 Cantabria;17 Contra la seguridad colectiva;2018;1.185
06 Cantabria;17 Contra la seguridad colectiva;2017;1.177
06 Cantabria;17 Contra la seguridad colectiva;2016;1.177
06 Cantabria;17 Contra la seguridad colectiva;2015;1.090
06 Cantabria;17 Contra la seguridad colectiva;2014;1.237
06 Cantabria;17 Contra la seguridad colectiva;2013;1.319
06 Cantabria;17.3 Contra la salud pública;2019;108
06 Cantabria;17.3 Contra la salud pública;2018;80
06 Cantabria;17.3 Contra la salud pública;2017;76
06 Cantabria;17.3 Contra la salud pública;2016;122
06 Cantabria;17.3 Contra la salud pública;2015;61
06 Cantabria;17.3 Contra la salud pública;2014;52
06 Cantabria;17.3 Contra la salud pública;2013;75
06 Cantabria;17.4 Contra la seguridad vial;2019;1.149
06 Cantabria;17.4 Contra la seguridad vial;2018;1.101
06 Cantabria;17.4 Contra la seguridad vial;2017;1.095
06 Cantabria;17.4 Contra la seguridad vial;2016;1.050
06 Cantabria;17.4 Contra la seguridad vial;2015;1.021
06 Cantabria;17.4 Contra la seguridad vial;2014;1.183
06 Cantabria;17.4 Contra la seguridad vial;2013;1.236
06 Cantabria;17.99 Otros delitos contra la seguridad colectiva;2019;2
06 Cantabria;17.99 Otros delitos contra la seguridad colectiva;2018;4
06 Cantabria;17.99 Otros delitos contra la seguridad colectiva;2017;6
06 Cantabria;17.99 Otros delitos contra la seguridad colectiva;2016;5
06 Cantabria;17.99 Otros delitos contra la seguridad colectiva;2015;8
06 Cantabria;17.99 Otros delitos contra la seguridad colectiva;2014;2
06 Cantabria;17.99 Otros delitos contra la seguridad colectiva;2013;8
06 Cantabria;18 Falsedades;2019;103
06 Cantabria;18 Falsedades;2018;64
06 Cantabria;18 Falsedades;2017;81
06 Cantabria;18 Falsedades;2016;100
06 Cantabria;18 Falsedades;2015;85
06 Cantabria;18 Falsedades;2014;61
06 Cantabria;18 Falsedades;2013;45
06 Cantabria;18.2 Falsedades documentales;2019;99
06 Cantabria;18.2 Falsedades documentales;2018;62
06 Cantabria;18.2 Falsedades documentales;2017;75
06 Cantabria;18.2 Falsedades documentales;2016;93
06 Cantabria;18.2 Falsedades documentales;2015;79
06 Cantabria;18.2 Falsedades documentales;2014;56
06 Cantabria;18.2 Falsedades documentales;2013;42
06 Cantabria;18.2.1 Falsificación documentos públicos;2019;95
06 Cantabria;18.2.1 Falsificación documentos públicos;2018;54
06 Cantabria;18.2.1 Falsificación documentos públicos;2017;68
06 Cantabria;18.2.1 Falsificación documentos públicos;2016;83
06 Cantabria;18.2.1 Falsificación documentos públicos;2015;71
06 Cantabria;18.2.1 Falsificación documentos públicos;2014;52
06 Cantabria;18.2.1 Falsificación documentos públicos;2013;35
06 Cantabria;18.2.2 Falsificación documentos privados;2019;4
06 Cantabria;18.2.2 Falsificación documentos privados;2018;6
06 Cantabria;18.2.2 Falsificación documentos privados;2017;7
06 Cantabria;18.2.2 Falsificación documentos privados;2016;6
06 Cantabria;18.2.2 Falsificación documentos privados;2015;7
06 Cantabria;18.2.2 Falsificación documentos privados;2014;2
06 Cantabria;18.2.2 Falsificación documentos privados;2013;6
06 Cantabria;18.2.3 Falsificación de certificados;2019;0
06 Cantabria;18.2.3 Falsificación de certificados;2018;2
06 Cantabria;18.2.3 Falsificación de certificados;2017;0
06 Cantabria;18.2.3 Falsificación de certificados;2016;4
06 Cantabria;18.2.3 Falsificación de certificados;2015;1
06 Cantabria;18.2.3 Falsificación de certificados;2014;2
06 Cantabria;18.2.3 Falsificación de certificados;2013;1
06 Cantabria;18.2.4 Falsificación de tarjetas de crédito;2019;0
06 Cantabria;18.2.4 Falsificación de tarjetas de crédito;2018;0
06 Cantabria;18.2.4 Falsificación de tarjetas de crédito;2017;0
06 Cantabria;18.2.4 Falsificación de tarjetas de crédito;2016;0
06 Cantabria;18.2.4 Falsificación de tarjetas de crédito;2015;0
06 Cantabria;18.2.4 Falsificación de tarjetas de crédito;2014;0
06 Cantabria;18.2.4 Falsificación de tarjetas de crédito;2013;0
06 Cantabria;18.99 Otros delitos de las falsedades;2019;4
06 Cantabria;18.99 Otros delitos de las falsedades;2018;2
06 Cantabria;18.99 Otros delitos de las falsedades;2017;6
06 Cantabria;18.99 Otros delitos de las falsedades;2016;7
06 Cantabria;18.99 Otros delitos de las falsedades;2015;6
06 Cantabria;18.99 Otros delitos de las falsedades;2014;5
06 Cantabria;18.99 Otros delitos de las falsedades;2013;3
06 Cantabria;19 Contra la Administración Pública;2019;23
06 Cantabria;19 Contra la Administración Pública;2018;18
06 Cantabria;19 Contra la Administración Pública;2017;14
06 Cantabria;19 Contra la Administración Pública;2016;17
06 Cantabria;19 Contra la Administración Pública;2015;21
06 Cantabria;19 Contra la Administración Pública;2014;15
06 Cantabria;19 Contra la Administración Pública;2013;17
06 Cantabria;19.3 Desobediencia y denegación auxilio;2019;21
06 Cantabria;19.3 Desobediencia y denegación auxilio;2018;14
06 Cantabria;19.3 Desobediencia y denegación auxilio;2017;8
06 Cantabria;19.3 Desobediencia y denegación auxilio;2016;6
06 Cantabria;19.3 Desobediencia y denegación auxilio;2015;14
06 Cantabria;19.3 Desobediencia y denegación auxilio;2014;12
06 Cantabria;19.3 Desobediencia y denegación auxilio;2013;17
06 Cantabria;19.99 Otros delitos contra la Administración Pública;2019;2
06 Cantabria;19.99 Otros delitos contra la Administración Pública;2018;4
06 Cantabria;19.99 Otros delitos contra la Administración Pública;2017;6
06 Cantabria;19.99 Otros delitos contra la Administración Pública;2016;11
06 Cantabria;19.99 Otros delitos contra la Administración Pública;2015;7
06 Cantabria;19.99 Otros delitos contra la Administración Pública;2014;3
06 Cantabria;19.99 Otros delitos contra la Administración Pública;2013;0
06 Cantabria;20 Contra la Administración de Justicia;2019;236
06 Cantabria;20 Contra la Administración de Justicia;2018;319
06 Cantabria;20 Contra la Administración de Justicia;2017;281
06 Cantabria;20 Contra la Administración de Justicia;2016;302
06 Cantabria;20 Contra la Administración de Justicia;2015;311
06 Cantabria;20 Contra la Administración de Justicia;2014;311
06 Cantabria;20 Contra la Administración de Justicia;2013;282
06 Cantabria;20.5 Acusación y denuncia falsa;2019;14
06 Cantabria;20.5 Acusación y denuncia falsa;2018;17
06 Cantabria;20.5 Acusación y denuncia falsa;2017;20
06 Cantabria;20.5 Acusación y denuncia falsa;2016;22
06 Cantabria;20.5 Acusación y denuncia falsa;2015;31
06 Cantabria;20.5 Acusación y denuncia falsa;2014;26
06 Cantabria;20.5 Acusación y denuncia falsa;2013;31
06 Cantabria;20.5.1 Acusación y denuncias falsas;2019;6
06 Cantabria;20.5.1 Acusación y denuncias falsas;2018;7
06 Cantabria;20.5.1 Acusación y denuncias falsas;2017;12
06 Cantabria;20.5.1 Acusación y denuncias falsas;2016;9
06 Cantabria;20.5.1 Acusación y denuncias falsas;2015;11
06 Cantabria;20.5.1 Acusación y denuncias falsas;2014;6
06 Cantabria;20.5.1 Acusación y denuncias falsas;2013;7
06 Cantabria;20.5.2 Simulación del delito;2019;8
06 Cantabria;20.5.2 Simulación del delito;2018;10
06 Cantabria;20.5.2 Simulación del delito;2017;8
06 Cantabria;20.5.2 Simulación del delito;2016;13
06 Cantabria;20.5.2 Simulación del delito;2015;20
06 Cantabria;20.5.2 Simulación del delito;2014;20
06 Cantabria;20.5.2 Simulación del delito;2013;24
06 Cantabria;20.8 Quebrantamiento de condena;2019;208
06 Cantabria;20.8 Quebrantamiento de condena;2018;288
06 Cantabria;20.8 Quebrantamiento de condena;2017;242
06 Cantabria;20.8 Quebrantamiento de condena;2016;258
06 Cantabria;20.8 Quebrantamiento de condena;2015;258
06 Cantabria;20.8 Quebrantamiento de condena;2014;259
06 Cantabria;20.8 Quebrantamiento de condena;2013;227
06 Cantabria;20.99 Otros delitos contra la Administración de Justicia;2019;14
06 Cantabria;20.99 Otros delitos contra la Administración de Justicia;2018;14
06 Cantabria;20.99 Otros delitos contra la Administración de Justicia;2017;19
06 Cantabria;20.99 Otros delitos contra la Administración de Justicia;2016;22
06 Cantabria;20.99 Otros delitos contra la Administración de Justicia;2015;22
06 Cantabria;20.99 Otros delitos contra la Administración de Justicia;2014;26
06 Cantabria;20.99 Otros delitos contra la Administración de Justicia;2013;24
06 Cantabria;22 Contra el orden público;2019;141
06 Cantabria;22 Contra el orden público;2018;135
06 Cantabria;22 Contra el orden público;2017;154
06 Cantabria;22 Contra el orden público;2016;134
06 Cantabria;22 Contra el orden público;2015;139
06 Cantabria;22 Contra el orden público;2014;178
06 Cantabria;22 Contra el orden público;2013;154
06 Cantabria;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;2019;113
06 Cantabria;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;2018;123
06 Cantabria;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;2017;130
06 Cantabria;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;2016;120
06 Cantabria;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;2015;130
06 Cantabria;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;2014;168
06 Cantabria;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;2013;148
06 Cantabria;22.2.1 Atentados contra la autoridad;2019;51
06 Cantabria;22.2.1 Atentados contra la autoridad;2018;38
06 Cantabria;22.2.1 Atentados contra la autoridad;2017;46
06 Cantabria;22.2.1 Atentados contra la autoridad;2016;47
06 Cantabria;22.2.1 Atentados contra la autoridad;2015;50
06 Cantabria;22.2.1 Atentados contra la autoridad;2014;54
06 Cantabria;22.2.1 Atentados contra la autoridad;2013;62
06 Cantabria;22.2.2 Resistencia y desobediencia;2019;62
06 Cantabria;22.2.2 Resistencia y desobediencia;2018;85
06 Cantabria;22.2.2 Resistencia y desobediencia;2017;84
06 Cantabria;22.2.2 Resistencia y desobediencia;2016;73
06 Cantabria;22.2.2 Resistencia y desobediencia;2015;80
06 Cantabria;22.2.2 Resistencia y desobediencia;2014;114
06 Cantabria;22.2.2 Resistencia y desobediencia;2013;86
06 Cantabria;22.99 Otros delitos contra el orden público;2019;28
06 Cantabria;22.99 Otros delitos contra el orden público;2018;12
06 Cantabria;22.99 Otros delitos contra el orden público;2017;24
06 Cantabria;22.99 Otros delitos contra el orden público;2016;14
06 Cantabria;22.99 Otros delitos contra el orden público;2015;9
06 Cantabria;22.99 Otros delitos contra el orden público;2014;10
06 Cantabria;22.99 Otros delitos contra el orden público;2013;6
06 Cantabria;R Resto de delitos;2019;78
06 Cantabria;R Resto de delitos;2018;80
06 Cantabria;R Resto de delitos;2017;51
06 Cantabria;R Resto de delitos;2016;65
06 Cantabria;R Resto de delitos;2015;42
06 Cantabria;R Resto de delitos;2014;28
06 Cantabria;R Resto de delitos;2013;16
07 Castilla y León;A Total Delitos;2019;16.731
07 Castilla y León;A Total Delitos;2018;16.333
07 Castilla y León;A Total Delitos;2017;15.754
07 Castilla y León;A Total Delitos;2016;14.307
07 Castilla y León;A Total Delitos;2015;11.551
07 Castilla y León;A Total Delitos;2014;11.634
07 Castilla y León;A Total Delitos;2013;12.177
07 Castilla y León;1 Homicidio y sus formas;2019;42
07 Castilla y León;1 Homicidio y sus formas;2018;49
07 Castilla y León;1 Homicidio y sus formas;2017;38
07 Castilla y León;1 Homicidio y sus formas;2016;54
07 Castilla y León;1 Homicidio y sus formas;2015;73
07 Castilla y León;1 Homicidio y sus formas;2014;54
07 Castilla y León;1 Homicidio y sus formas;2013;92
07 Castilla y León;1.1 Homicidio;2019;6
07 Castilla y León;1.1 Homicidio;2018;9
07 Castilla y León;1.1 Homicidio;2017;5
07 Castilla y León;1.1 Homicidio;2016;12
07 Castilla y León;1.1 Homicidio;2015;7
07 Castilla y León;1.1 Homicidio;2014;13
07 Castilla y León;1.1 Homicidio;2013;13
07 Castilla y León;1.2 Asesinato;2019;5
07 Castilla y León;1.2 Asesinato;2018;10
07 Castilla y León;1.2 Asesinato;2017;5
07 Castilla y León;1.2 Asesinato;2016;8
07 Castilla y León;1.2 Asesinato;2015;13
